Name,Country/See,Role_Office,Date_of_Birth,Age,Background
Lazarus You Heung-sik,South Korea,Prefect of the Dicastery for the Clergy,17 November 1951,73,"Cardinal Lazarus You Heung-sik is a South Korean prelate of the Catholic Church who has served as the Prefect of the Dicastery for the Clergy since 2021, making him one of the highest-ranking Asian officials in the Vatican. Born in 1951, he was ordained a priest in 1979 and became Bishop of Daejeon in 2003. Known for his pastoral approach and support of Pope Francis’s reforms, Cardinal You emphasizes dialogue, humility, and service, advocating for a more inclusive and compassionate Church. He is recognized for his commitment to peace and reconciliation, particularly on the Korean peninsula, and for championing transparency and integrity in Church governance."
Claudio Gugerotti,Italy,Prefect of the Dicastery for the Eastern Churches,7 October 1955,69,"Cardinal Claudio Gugerotti, born in Verona, Italy, on October 7, 1955, is a seasoned Vatican diplomat and scholar specializing in Eastern Churches. Ordained in 1982, he holds degrees in Eastern languages and sacred liturgy, and has taught at various universities, including the Pontifical Oriental Institute. His diplomatic career includes serving as Apostolic Nuncio to Georgia, Armenia, Azerbaijan, Belarus, Ukraine, and Great Britain. In November 2022, Pope Francis appointed him Prefect of the Dicastery for the Eastern Churches, and he was created cardinal in September 2023. Gugerotti has been vocal about global conflicts, condemning the war in Ukraine as ""barbaric"" and a ""slaughter,"" and advocating for Christians to play a leading role in rebuilding Syria. ([cruxnow.com](https://cruxnow.com/2023-consistory-and-synod-for-synodality/2023/10/former-papal-envoy-to-ukraine-calls-war-barbaric-and-a-slaughter?utm_source=openai), [vaticannews.va](https://www.vaticannews.va/en/vatican-city/news/2025-01/cardinal-gugerotti-papal-envoy-syria-christians-aleppo.html?utm_source=openai)) He emphasizes the Vatican's commitment to open dialogue with all parties, reflecting a diplomacy rooted in ""possible utopias"" rather than political calculations. ([news.diocesetucson.org](https://news.diocesetucson.org/news/vatican-keeps-doors-of-dialogue-open-to-everyone-new-cardinal-says?utm_source=openai), [aleteia.org](https://aleteia.org/2023/09/30/cardinal-to-be-claudio-gugerotti-expert-in-eastern-europe?utm_source=openai)) "
Víctor Manuel Fernández,Argentina,Prefect of the Dicastery for the Doctrine of the Faith,18 July 1962,62,"Cardinal Víctor Manuel Fernández is an Argentine theologian and close confidant of Pope Francis, known for his progressive views within the Catholic Church. Appointed Prefect of the Dicastery for the Doctrine of the Faith in 2023, he previously served as Rector of the Pontifical Catholic University of Argentina and Archbishop of La Plata. Fernández is recognized for advocating greater pastoral flexibility, openness to marginalized groups, and a more welcoming approach to issues such as communion for divorced and remarried Catholics. He has contributed significantly to papal documents like ""Evangelii Gaudium"" and ""Amoris Laetitia,"" reflecting his emphasis on mercy, dialogue, and accompaniment over rigid doctrinal enforcement."
Emil Paul Tscherrig,Switzerland,Apostolic Nuncio emeritus to Italy and San Marino,3 February 1947,78,"Cardinal Emil Paul Tscherrig, born on February 3, 1947, in Unterems, Switzerland, is a seasoned Vatican diplomat who has served as Apostolic Nuncio in various countries, including Burundi, Argentina, and Italy—the latter being a historic appointment as the first non-Italian in that role. Ordained in 1974 and entering the Holy See's diplomatic service in 1978, he was elevated to cardinal by Pope Francis in 2023. Tscherrig has publicly condemned religious fundamentalism, stating it is ""never acceptable"" and often exploited to justify extremism or personal failures. ([en.m.wikiquote.org](https://en.m.wikiquote.org/wiki/Emil_Paul_Tscherrig?utm_source=openai)) "
Christophe Pierre,France,Apostolic Nuncio to the United States,30 January 1946,79,"Cardinal Christophe Pierre is a French prelate and seasoned Vatican diplomat who has served as the Apostolic Nuncio to the United States since 2016. With extensive experience in diplomatic postings across countries like Haiti, Uganda, Mexico, and the Holy See, Pierre is known for his deep commitment to dialogue and pastoral sensitivity. He is regarded as a close ally of Pope Francis and an advocate of the Pope’s vision for a more inclusive, listening, and synodal Church. Pierre emphasizes engagement with contemporary societal issues, pastoral accompaniment, and Church reform, aligning himself with Francis’s priorities of mercy, encounter, and attention to the marginalized."
Ángel Fernández Artime SDB,Spain,Pro-Prefect of the Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life,21 August 1960,64,"Cardinal Ángel Fernández Artime SDB, born in 1960 in Spain, is a member of the Salesians of Don Bosco and became the Rector Major of the congregation in 2014, the first successor of Don Bosco to be created cardinal. Known for his strong commitment to youth ministry, education, and service to marginalized communities, he emphasizes closeness to the poor, synodality, and the adaptability of the Church to contemporary realities. Fernández Artime promotes a vision of the Church that is joyful, inclusive, and mission-oriented, deeply rooted in Salesian values of accompaniment, optimism, and pastoral care, especially toward young people and those on the peripheries."
Rolandas Makrickas,Lithuania,Coadjutor Archpriest of the Papal Basilica of Saint Mary Major,31 January 1972,53,"Rolandas Makrickas, born on January 31, 1972, in Biržai, Lithuania, is a Lithuanian Catholic cardinal who has held various significant roles within the Church. After his ordination in 1996, he served in the Holy See's diplomatic service from 2006 to 2021, with assignments in countries including Bolivia, Georgia, Sweden, the United States, and Gabon. In 2021, Pope Francis appointed him as the extraordinary commissioner to oversee the reorganization of the Basilica of Santa Maria Maggiore's administration. He was consecrated as an archbishop in 2023 and elevated to cardinal in December 2024. Makrickas emphasizes the importance of integrating the Gospel with local cultures, advocating for evangelization that respects and enriches national traditions and customs. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Rolandas_Makrickas?utm_source=openai), [itlietuviai.it](https://www.itlietuviai.it/busimas-kardinolas-rolandas-makrickas-popiezius-mus-kviecia-gyventi-paprasta-ir-nuosirdu-gyvenima/?utm_source=openai)) "
Timothy Radcliffe OP,United Kingdom,Master emeritus of the Order of Preachers,22 August 1945,79,"Cardinal Timothy Radcliffe OP is a British Dominican friar, theologian, and prominent Catholic leader known for his progressive and inclusive approach to Church issues. Born in 1945, he served as Master of the Dominican Order from 1992 to 2001, and has since become an influential speaker and writer, especially on topics of faith, ethics, and social justice. Radcliffe is recognized for advocating for dialogue and compassion within the Church, supporting LGBTQ+ inclusion, and engaging constructively with contemporary cultural challenges, while remaining committed to the core tenets of Catholic doctrine. In 2023, Pope Francis named him a cardinal, acknowledging his significant contribution to the global Church, particularly in promoting synodality and open discussion."
Fabio Baggio CS,Italy,Undersecretary of the Migrants and Refugees Section of the Dicastery for Promoting Integral Human Development,15 January 1965,60,"Cardinal Fabio Baggio, C.S., born on January 15, 1965, in Bassano del Grappa, Italy, is a member of the Scalabrinian Missionaries, ordained in 1992. He holds a doctorate in Church History from the Pontifical Gregorian University. His extensive missionary work includes roles as a migration consultant for the Chilean Bishops' Conference and Director of the Buenos Aires Archdiocese’s Department of Migration, where he collaborated closely with then-Cardinal Jorge Mario Bergoglio. Baggio has taught at universities across Europe, Latin America, and Asia, and directed the Scalabrini Migration Center in the Philippines. In 2017, he was appointed Under-Secretary of the Migrants and Refugees Section of the Dicastery for Promoting Integral Human Development, and in 2022, he became its sole Under-Secretary. Elevated to cardinal in December 2024, Baggio is a staunch advocate for migrants and refugees, emphasizing the need for improved legal pathways for migration. He also underscores the link between environmental issues and migration, leading the Vatican's ecological initiative, Borgo Laudato Si', to promote ecological conversion and sustainability. ([press.vatican.va](https://press.vatican.va/content/salastampa/en/documentation/cardinali_biografie/cardinali_bio_baggio_f.html?utm_source=openai), [aleteia.org](https://aleteia.org/2024/11/25/fabio-baggio-an-advocate-in-rome-for-migrants-and-ecology?utm_source=openai)) "
George Koovakad,India,Prefect of the Dicastery for Interreligious Dialogue ( Syro-Malabar Catholic Church ),11 August 1973,51,"Cardinal George Jacob Koovakad, born on August 11, 1973, in Chethipuzha, India, is a prominent figure in the Syro-Malabar Catholic Church. Ordained in 2004, he earned a doctorate in canon law from the Pontifical University of the Holy Cross in 2006. His extensive diplomatic service includes assignments in Algeria, South Korea, Iran, Costa Rica, and Venezuela. In 2020, he joined the Vatican's Secretariat of State, later becoming responsible for organizing Pope Francis' international travels. Elevated to cardinal in December 2024, he was appointed Prefect of the Dicastery for Interreligious Dialogue in January 2025. Cardinal Koovakad emphasizes recognizing Jesus in others, serving the marginalized, and environmental stewardship, aligning closely with Pope Francis' focus on human fraternity and care for creation. ([collegeofcardinalsreport.com](https://collegeofcardinalsreport.com/cardinals/cardinal-george-jacob-koovakad/?utm_source=openai)) "
